Latitude,Longitude,RSRP10,Street Address
42.897659,-78.857048,-80,64 Grape St
42.897046,-78.857636,-80,67 Peach St
42.897677,-78.857047,-80,68 Grape St
42.897957,-78.856949,-80,76 Grape St
42.897924,-78.85639,-80,79 Grape St
42.897139,-78.859224,-80,86 Orange St
42.898144,-78.856255,-80,89 Grape St
42.897397,-78.860608,-81,135 Locust St
42.898055,-78.861945,-81,172 Mulberry St
42.899601,-78.857863,-81,183 Orange St
42.899681,-78.857859,-81,185 Orange St
42.898784,-78.861786,-81,196 Mulberry St
42.898843,-78.861723,-81,198 Mulberry St
42.901183,-78.859917,-81,270 Locust St
42.901593,-78.858846,-81,272 Lemon St
42.900533,-78.860687,-81,279 Mulberry St
42.902644,-78.855993,-81,283 Peach St
42.901436,-78.859282,-81,285 Locust St
42.9006,-78.860774,-81,285 Mulberry St
42.898661,-78.856972,-81,320 Carlton St
42.896959,-78.857254,-81,40 Grape St
42.897821,-78.855977,-81,48 Rose St
42.897189,-78.857205,-81,50 Grape St
42.897752,-78.855442,-81,55 Rose St
42.897821,-78.855977,-81,56 Rose St
42.897186,-78.857591,-81,71 Peach St
42.898197,-78.855855,-81,72 Rose St
42.899105,-78.856572,-82,116 Grape St
42.899105,-78.856572,-82,116 Grape St
42.899105,-78.856572,-82,116 Grape St
42.899105,-78.856572,-82,116 Grape St
42.897138,-78.860668,-82,123 Locust St
42.897138,-78.860668,-82,125 Locust St
42.89894,-78.857022,-82,143 Peach St
42.899364,-78.857333,-82,154 Peach St
42.897967,-78.860475,-82,157 Locust St
42.899357,-78.857531,-82,158 Peach St
42.8977,-78.861502,-82,159 Mulberry St
42.899514,-78.857441,-82,160 Peach St
42.90252,-78.855524,-82,250 Grape St
42.902617,-78.855524,-82,252 Grape St
42.902792,-78.855483,-82,262 Grape St
42.902509,-78.855921,-82,275 Peach St
42.901898,-78.858094,-82,277 E North St
42.902733,-78.855963,-82,285 Peach St
42.900787,-78.861622,-82,295 Maple St
42.900853,-78.861728,-82,313 Maple St
42.89867,-78.856673,-82,326 Carlton St
42.902334,-78.855874,-82,336 E North St
42.897358,-78.855494,-82,41 Rose St
42.897668,-78.856025,-82,52 Rose St
42.897668,-78.856025,-82,54 Rose St
42.897949,-78.855301,-82,61 Rose St
42.897949,-78.855301,-82,61 Rose St # 2
42.897578,-78.85644,-82,67 Grape St
42.897253,-78.857567,-82,75 Peach St
42.897406,-78.857519,-82,79 Peach St
42.897578,-78.857522,-82,87 Peach St
42.896981,-78.860336,-82,94 Lemon St
42.896981,-78.860336,-82,94 Lemon St APT 2
42.897075,-78.860306,-82,96 Lemon St
42.898939,-78.856586,-83,112 Grape St
42.897423,-78.860161,-83,112 Lemon St
42.899257,-78.856471,-83,124 Grape St
42.899591,-78.856427,-83,138 Grape St
42.899073,-78.856979,-83,149 Peach St
42.899464,-78.856852,-83,165 Peach St
42.898196,-78.860374,-83,167 Locust St
42.89742,-78.862721,-83,167 Maple St
42.90051,-78.859736,-83,248 High St
42.901264,-78.858858,-83,258 Lemon St
42.902842,-78.854957,-83,261 Grape St
42.900803,-78.86114,-83,268 Mulberry St
42.901407,-78.858351,-83,269 Lemon St
42.900512,-78.859636,-83,269 Locust St
42.901464,-78.858249,-83,273 Lemon St
42.900719,-78.86053,-83,273 Mulberry St
42.90089,-78.861091,-83,274 Mulberry St
42.901608,-78.858192,-83,277 Lemon St
42.901907,-78.857842,-83,285 E North St
42.901929,-78.857691,-83,287 E North St
42.897142,-78.856196,-83,30 Rose St
42.900851,-78.861509,-83,317 Maple St
42.902333,-78.855375,-83,350 E North St
42.897418,-78.85603,-83,42 Rose St
42.89772,-78.857025,-83,66 Grape St
42.897476,-78.857491,-83,83 Peach St
42.896846,-78.86039,-83,88 Lemon St
42.896846,-78.86039,-83,90 Lemon St
42.899225,-78.856743,-84,122 Grape St
42.897269,-78.861516,-84,124 Locust St
42.899426,-78.856446,-84,130 Grape St
42.897033,-78.863243,-84,150 Maple St
42.897745,-78.862096,-84,156 Mulberry St
42.898328,-78.862946,-84,167 Carlton St
42.899597,-78.8569,-84,167 Peach St
42.900018,-78.857197,-84,178 1/2 Peach St
42.900018,-78.857197,-84,178 Peach St
42.900018,-78.857197,-84,178 Peach St
42.900018,-78.857197,-84,178 Peach St
42.900018,-78.857197,-84,178 Peach St
42.900018,-78.857197,-84,178 Peach St # 1
42.897775,-78.863136,-84,182 Maple St
42.901558,-78.857832,-84,254 Orange St
42.900949,-78.86007,-84,262 Locust St
42.90125,-78.858357,-84,263 Lemon St
42.902987,-78.855525,-84,266 Grape St
42.900889,-78.860509,-84,277 Mulberry St
42.901916,-78.857567,-84,291 E North St
42.900025,-78.857332,-84,313 High St
42.900102,-78.857208,-84,315 High St
42.900018,-78.857197,-84,317 High St
42.900018,-78.857197,-84,317 High St # 2
42.898209,-78.854827,-84,375 Carlton St
42.89751,-78.856078,-84,44 Rose St
42.89751,-78.856078,-84,44 Rose St UNIT 2
42.898125,-78.85425,-84,844 Jefferson Ave
42.902375,-78.854375,-85,1000 Jefferson Ave
42.896845,-78.860821,-85,113 Locust St
42.896936,-78.861369,-85,114 Locust St
42.897072,-78.861325,-85,116 Locust St
42.897117,-78.862333,-85,132 Mulberry St
42.897117,-78.862333,-85,136 Mulberry St
42.897621,-78.863182,-85,174 Maple St
42.897643,-78.862545,-85,179 Maple St
42.897742,-78.862512,-85,181 Maple St
42.897826,-78.862561,-85,183 Maple St
42.898023,-78.863057,-85,188 Maple St
42.898023,-78.863057,-85,192 Maple St
42.900497,-78.85866,-85,233 Lemon St
42.901061,-78.858962,-85,246 Lemon St
42.900869,-78.860095,-85,258 Locust St
42.900807,-78.860535,-85,275 Mulberry St
42.902997,-78.856463,-85,294 Peach St
42.903076,-78.856451,-85,298 Peach St
42.897232,-78.856167,-85,32 Rose St
42.898674,-78.855849,-85,348 Carlton St
42.902329,-78.854819,-85,362 E North St
42.898043,-78.855344,-85,65 Rose St
42.899062,-78.855577,-86,104 Rose St
42.899085,-78.855955,-86,123 Grape St
